               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12539,            0.053823,            0.061831,          0.00012651,           0.0052772,          0.00017126,          4.7112e-05,             0.12308,            0.045042,            0.061056,              0.0883,              0.0013,              0.0013
                   1,             0.11443,            0.064877,             0.06008,          0.00013613,           0.0053052,           0.0001613,          3.9465e-05,             0.11219,            0.056713,              0.0596,            0.075682,           0.0026822,           0.0026822
                   2,             0.10703,            0.067891,            0.057837,           0.0057936,             0.34278,            0.087649,            0.020225,            0.098537,            0.061337,             0.05726,            0.063046,           0.0040459,           0.0040459
                   3,             0.10005,             0.07038,             0.05519,             0.50849,             0.17541,              0.1139,            0.027213,             0.10539,            0.060743,            0.054119,            0.050391,           0.0053911,           0.0053911
                   4,             0.09444,            0.067139,            0.052617,             0.44211,             0.16974,            0.097844,            0.050828,            0.097052,            0.064061,            0.052419,            0.037718,           0.0067178,           0.0067178
                   5,            0.094921,            0.071342,            0.050355,             0.39688,             0.18723,            0.022601,           0.0084866,            0.091604,            0.066946,            0.050162,            0.025026,           0.0080261,           0.0080261
                   6,            0.089671,            0.065191,            0.049211,             0.31342,             0.17237,            0.085687,            0.033976,            0.092007,            0.060829,            0.049316,            0.012316,           0.0093159,           0.0093159
                   7,            0.089753,             0.06083,            0.048272,              0.2848,             0.28329,            0.093732,            0.030193,            0.092462,            0.052489,             0.04814,            0.009538,            0.009538,            0.009538
                   8,            0.089994,            0.054586,            0.046903,             0.18478,             0.29857,             0.19106,            0.083573,             0.10038,            0.037401,            0.046117,            0.009538,            0.009538,            0.009538
                   9,            0.086579,            0.055683,            0.045557,             0.68242,             0.24665,             0.34631,             0.17175,             0.08085,            0.044393,             0.04438,            0.009472,            0.009472,            0.009472
                  10,            0.081222,            0.053279,            0.044494,             0.30674,             0.51806,              0.3399,             0.16053,            0.080739,            0.043797,            0.044414,            0.009406,            0.009406,            0.009406
                  11,            0.079043,            0.053047,             0.04336,             0.58867,             0.52332,             0.59047,              0.2503,            0.072222,            0.046732,            0.043464,             0.00934,             0.00934,             0.00934
                  12,             0.06949,            0.056438,            0.042478,             0.26404,             0.44664,             0.24636,            0.088925,             0.07254,            0.055167,            0.042002,            0.009274,            0.009274,            0.009274
                  13,             0.07287,            0.056776,             0.04254,             0.37593,             0.55397,             0.55562,             0.23957,            0.064677,            0.041284,            0.040529,            0.009208,            0.009208,            0.009208
                  14,            0.071157,            0.054705,            0.040462,              0.2193,             0.86137,             0.41734,             0.13243,            0.080831,             0.05331,            0.039915,            0.009142,            0.009142,            0.009142
                  15,            0.070058,            0.050963,             0.03994,             0.43293,             0.57034,             0.60033,             0.25212,            0.061427,            0.039201,            0.038734,            0.009076,            0.009076,            0.009076
                  16,            0.062782,            0.050942,            0.038747,             0.48015,             0.65734,             0.55018,             0.25136,            0.075081,            0.044873,            0.037905,             0.00901,             0.00901,             0.00901
                  17,            0.065054,            0.045408,             0.03908,             0.31827,             0.83419,             0.68238,             0.31156,            0.064916,            0.038163,            0.036398,            0.008944,            0.008944,            0.008944
                  18,             0.06129,              0.0458,             0.03723,             0.37153,             0.89501,              0.7627,             0.42034,            0.055269,            0.039297,            0.035996,            0.008878,            0.008878,            0.008878
                  19,            0.058533,            0.042962,            0.036628,             0.46729,             0.89189,                0.77,             0.31889,            0.069157,            0.041359,            0.035137,            0.008812,            0.008812,            0.008812
                  20,            0.062169,            0.040836,            0.036256,             0.56749,             0.86066,             0.84506,              0.3762,            0.050851,             0.03389,            0.034366,            0.008746,            0.008746,            0.008746
                  21,            0.058514,            0.043884,            0.035429,               0.836,             0.43608,             0.57116,             0.30168,            0.065118,            0.034703,            0.033742,             0.00868,             0.00868,             0.00868
                  22,              0.0572,             0.04053,            0.034744,             0.40839,             0.87396,             0.79029,              0.3779,            0.044525,            0.030126,            0.033501,            0.008614,            0.008614,            0.008614
                  23,            0.053577,            0.039915,            0.034464,             0.31067,             0.80193,             0.70053,             0.32892,            0.060432,            0.032224,            0.032942,            0.008548,            0.008548,            0.008548
                  24,            0.061782,            0.038978,               0.034,             0.34722,             0.81264,             0.65498,              0.2965,            0.060237,            0.028837,             0.03244,            0.008482,            0.008482,            0.008482
                  25,            0.057683,            0.036007,            0.033191,             0.59039,             0.84696,             0.79694,              0.5643,            0.055214,            0.032626,            0.031048,            0.008416,            0.008416,            0.008416
                  26,            0.052921,            0.038158,            0.032172,             0.75677,             0.85282,             0.85412,             0.45133,            0.044425,            0.029567,            0.030753,             0.00835,             0.00835,             0.00835
                  27,            0.052243,            0.036602,            0.031646,             0.30925,              0.8959,             0.64135,             0.32855,            0.057761,            0.031963,            0.030005,            0.008284,            0.008284,            0.008284
                  28,            0.049338,            0.034811,            0.030474,             0.53111,             0.85854,             0.84602,             0.46345,            0.054117,            0.030091,            0.029416,            0.008218,            0.008218,            0.008218
                  29,            0.052281,            0.036057,            0.030506,             0.54044,             0.86939,             0.80903,             0.45929,            0.055306,            0.028783,            0.028835,            0.008152,            0.008152,            0.008152
                  30,            0.052946,            0.034428,            0.029807,             0.72916,             0.87564,              0.8827,             0.48721,            0.044181,            0.026994,            0.028733,            0.008086,            0.008086,            0.008086
                  31,            0.049562,            0.035948,             0.03005,             0.37775,             0.85644,             0.70631,             0.38064,            0.049023,            0.028379,            0.028088,             0.00802,             0.00802,             0.00802
                  32,            0.047475,            0.034639,            0.029095,             0.39704,             0.93527,              0.8034,             0.45395,             0.04888,            0.027403,             0.02761,            0.007954,            0.007954,            0.007954
                  33,            0.048004,            0.035872,            0.028113,             0.40151,             0.79236,             0.78839,             0.37446,            0.039395,            0.026182,            0.027286,            0.007888,            0.007888,            0.007888
                  34,            0.047442,            0.033973,            0.027549,             0.55961,             0.93142,              0.7965,               0.502,             0.04577,            0.026047,            0.026958,            0.007822,            0.007822,            0.007822
                  35,            0.048279,            0.031177,            0.026837,             0.45809,             0.90423,             0.79768,             0.29681,            0.047189,            0.026879,            0.026436,            0.007756,            0.007756,            0.007756
                  36,            0.046834,            0.032123,            0.027795,             0.56754,             0.83684,             0.83162,               0.454,             0.04422,            0.025764,            0.025955,             0.00769,             0.00769,             0.00769
                  37,            0.046054,            0.031898,            0.026077,             0.55219,             0.93726,             0.80395,             0.47069,            0.045941,            0.026222,            0.025529,            0.007624,            0.007624,            0.007624
